univGPA  ACT  hsGPA  sex  housing
   3.40   24   3.73    m        o
   3.25   30   3.43    m        o
   3.47   24   3.78    m        o
   3.63   24   3.00    m        o
   1.80   27   3.20    m        o
   3.60   19   3.30    m        r
   3.70   26   4.00    m        g
   3.80   23   3.30    m        g
   2.70   22   3.30    m        o
   3.43   24   3.60    m        g
   3.00   14   3.00    f        o
   3.90   32   3.89    f        r
   3.52   25   3.92    f        g
   3.67   28   3.80    m        o
   3.45   24   2.30    m        o
   3.06   26   3.60    m        r
   2.80   21   3.40    m        r
   3.25   22   3.80    f        r
   3.00   22   3.40    m        g
   3.40   26   3.60    m        o
   3.30   25   3.35    m        o
   3.40   24   3.70    f        o
   3.02   27   3.97    m        o
   2.60   24   3.35    m        o
   3.20   17   3.50    m        o
   4.00   29   4.00    f        g
   2.15   31   2.87    m        o
   3.80   25   4.00    f        g
   3.67   27   4.00    f        g
   3.40   24   3.80    f        o
   4.00   25   4.00    f        o
   2.89   24   3.69    m        o
   3.00   28   3.80    m        o
   4.00   23   3.50    f        o
   3.70   26   3.00    f        o
   4.00   28   4.00    f        r
   2.80   22   3.85    m        g
   3.80   18   3.00    m        o
   2.80   18   3.00    m        r
   2.10   28   2.50    m        o
   3.00   29   3.80    f        r
   3.70   22   3.87    m        g
   3.90   26   4.00    m        g
   3.70   29   4.00    f        g
   3.40   22   3.75    f        g
   3.70   30   3.90    m        r
   3.00   26   3.65    f        o
   3.80   23   4.00    f        o
   3.87   30   4.00    f        g
   3.14   20   2.41    m        g
   3.51   21   3.20    m        o
   3.72   25   3.76    m        o
   2.91   24   3.25    m        o
   3.49   26   4.00    f        r
   3.20   30   3.40    f        g
   3.60   28   3.85    f        g
   3.50   25   3.90    f        r
   3.30   32   3.70    f        g
   2.48   23   3.54    f        o
   3.30   27   3.70    f        g
   3.20   29   3.60    f        g
   3.75   29   4.00    f        g
   3.75   27   3.90    f        o
   2.80   17   3.20    m        o
   3.70   29   3.50    f        o
   4.00   35   3.90    m        o
   3.20   20   3.10    f        o
   3.00   32   3.40    m        o
   4.00   31   4.00    m        o
   3.05   24   3.75    f        g
   4.00   28   3.90    f        g
   3.00   32   3.80    m        o
   3.31   26   3.75    m        o
   3.00   24   3.60    f        o
   3.23   28   4.00    m        o
   3.00   27   3.75    f        o
   2.15   19   3.30    m        o
   3.20   21   2.50    m        o
   3.20   21   3.60    m        o
   3.00   30   2.98    m        o
   3.20   32   3.50    m        o
   3.71   26   3.81    f        g
   3.68   32   3.93    f        g
   3.00   23   3.98    f        o
   2.50   18   2.26    m        o
   3.40   24   2.40    m        g
   4.00   28   4.00    f        g
   2.12   19   3.90    m        r
   3.72   31   3.70    f        r
   2.05   19   2.90    m        o
